transliteration,meaning_en,meaning_ar,phnid,hieroglyphs
imHt,netherworld (used of tomb),العالم السفلي (تُستخدم للمقبرة),3,𓇋𓐝𓎛𓏏𓉐𓐝𓎛𓏏𓉐
ims ib,"kindly disposed (to), pleasent (to)",سار (لـ),3,
imsti,Imseti (one of the four sons of Horus),إمستي (واحد من أبناء حور الأربعة),3,𓇋𓅓𓐝𓋴𓍘𓅆𓇋𓅓𓋴𓍘𓅆𓇋𓅓𓋴𓏏𓅆𓐝𓊃𓍘𓇋𓀭
imt,wine ofimtregion,نبيذ منطقةimt,3,𓇋𓅓𓏏𓎺𓐝𓏏𓎺
imt,Tell el-farawn (name of location),تل الفرعون,3,𓇋𓐝𓅓𓏏𓀖𓏯𓏯𓊖
imt,"groaning, grief",حُزن، أنين,3,𓇋𓐝𓅓𓏏𓀁
imt pr,"will, testament",وصية، عهد,3,𓏶𓅓𓏏𓏛𓏥𓉐𓏤𓏶𓅓𓏏𓉐𓏛𓏥𓇋𓏏𓏶𓉐𓏤
imt-nDst,stern (of ship),مؤخرة (السفينة),3,𓏶𓅓𓏏𓈖𓆓𓋴𓏏𓅪
imt-HAt.f,she who in the front (the royal uraeus),التي في المقدمة (لصل الملكي),3,𓏶𓅓𓏏𓄂𓏏𓏤𓆑𓆘
imt(y),foster-child (of the king of Lower Egypt),الابن بالتبني (لملك مصر السفلى),3,𓇋𓐝𓏏𓀖𓀖𓏏
imDr,rampart,حِصن,3,𓇋𓐝𓅓𓇥𓂋𓊅
in,cordage (of ship),حبال السفينة,3,𓇋𓆛𓈖𓍢𓏥𓇋𓆛𓈖𓈖𓍢𓏥
in,eyebrows,حاجبي العين,3,𓇋𓆛𓈖𓏯𓏭
in,"by (prep.), non-encl. part., it is, interrog part., emphatic form of prep.n, so says (.....)",بواسطة (حرف جر)، إنه، اداة غير إسنادية، اداة استفهام، صيغة تشديد لحرف الجرn، هكذا يقول .....,3,𓇋𓈖𓇋𓋔
in m,"who?, what?",من؟، ماذا؟,3,𓇋𓈖𓅓𓂝𓈖𓅓𓂝
in-m,who,مَن، الذي,3,𓇋𓈖𓅓𓂝𓇋𓈖𓅓𓈖𓅓𓂝
in m mH,carry off captive,يخطف أسير,3,𓏎𓈖𓅓𓎔𓂡
in r-a,attain the limits of lands,يبلغ حدود الأرض,3,𓏎𓈖𓂋𓂝𓏤
in-Hrt,Onuris (name of divinity),أنوريس (اسم معبود),3,𓏎𓈖𓎛𓁷𓂋𓏏𓈐𓅆𓏎𓈐𓅆𓏎𓇯𓀭
in Drw,"attain the limits (of a place, of strength, of skill)",يبلغ حدود (مكان، قوة، مهارة),3,𓏎𓈖𓇥𓂋𓅱𓈐𓏥
ini,"delay (vb.), hold (oneself) aloof from",يؤخر، يعزل نفسه عن,3,𓇋𓆛𓈖𓂻
ini,use,يستخدم,3,𓏎𓈖
ini,buy,يشتري,3,𓏎𓈖
ini,appoint (to an office),يُعَيِّن (في منصب),3,𓏎𓈖
ini,"reach (a place), attain (a place)",يصل الى (مكان)، يبلغ (مكان),3,𓏎𓈖
ini,"remove (something bad), overcome (trouble)",يزيل (شيء سيء)، يتغلب على (مصاعب),3,𓏎𓈖
ini,"bring, fetch, carry off, bring away, bring about (an event)",يُحضر، يجلب، يحمل بعيدًا، يتسسب في حدوث حَدَث,3,𓏎𓈖
inyt,materials (?) (for handicrafts),خامات (لمصنوعات يدوية),3,𓇋𓆛𓈖𓇌𓏏𓈒𓏫
inyt,refrain (?) of song,قرار (؟) لأغنية,3,𓏎𓇌𓏏𓀁
ina,chin,ذقن,3,
inat,chin,ذقن,3,𓇋𓆛𓈖𓂝𓏏𓄹
inw,"pattern, model",نموذج، تصميم,3,𓇋𓏎𓈖𓏌𓅱𓀁𓏪
inw,matting,مادة خشنة لصنع الحُصر,3,𓏎𓈖𓏌𓅱𓎅𓏪
inw,"produce (of region), gifts (from palace), tribute (of subject lands), dues (to be paid), quarry (of hunter)",إنتاج (مقاطعة)، هدايا (من القصر)، جزية (الأراضي الخاضعة)، مستحقات (مستحقة الدفع)، صيد الصياد (اسم),3,𓏎𓏌𓏥𓏎𓈖𓏌𓅱𓏛𓏥
inb,wall off (a place),يبني جدار (لفصل مكان),3,𓇋𓆛𓈖𓃀𓊅𓂡
inb,wall,جدار,3,𓇋𓆛𓈖𓃀𓊅𓊅𓏤
inbA,be dumb,يكون أبكم,3,𓇋𓆛𓈖𓃀𓅡𓄿𓀁
inbw HqA,eastern frontier fortress,قلعة الحدود الشرقية,3,𓊅𓏤𓏥𓋾𓈎𓀭
inbw HD,white wall (name of Memphis and its nome),الجدار الأبيض (اسم مدينة منف ومقاطعتها),3,𓊅𓊅𓊅𓌉𓊅𓌉𓇋𓆛𓈖𓃀𓊅𓌉𓏏𓊖
inbt,"fence, stockade",سياج,3,𓇋𓆛𓈖𓃀𓏏𓆱𓏥𓇋𓆛𓈖𓃀𓊅𓏪
inp,decay,يضمحل,3,𓇋𓈖𓊪𓐎
inpw,"royal child, royal child (of princess)",طفل ملكي، طفل ملكي (لأميرة),3,𓇋𓈖𓊪𓅱𓀰𓇋𓈖𓊪𓀖𓃢𓇋𓈖𓊪𓅱𓃢
inpw,Anubis (name of divinity),الاله انوبيس,3,𓇋𓈖𓊪𓅱𓃣𓇋𓈖𓊪𓅱𓃢𓅆𓇋𓈖𓊪𓁢𓃣
inm,"skin (of a man, animal), hues (of sky)",جلد (انسان، حيوان)، درجات الوان (السماء),3,𓇋𓆛𓈖𓌰𓅓𓄛𓇋𓆛𓈖𓌰𓅓𓁸𓇋𓆛𓈖𓌰𓅓𓆈
inn,we (indep. pron. pl.),نحن (ضمير منفصل للجمع),3,𓇋𓀁𓈖𓈖𓏥𓇋𓏌𓈖𓏥
innk,"thyme (?), water-mint (?)",زعتر (؟)، نعناع مائي (؟),3,𓇋𓆛𓈖𓈖𓎡𓆰𓏥
inr,"stone, rock, slab, block (of material)",حجر، صخرة، بلاطة، كتلة,3,𓇋𓈖𓂋𓊌𓊌𓇋𓈖𓊌
inr n mAT,granite,حجر الجرانيت,3,𓇋𓈖𓂋𓊌𓈖𓌳𓍿𓏋
inr n r mw,sea-shell,صَدَفة البحر,3,
inr n rwDt,hard stone (sandstone),حجر صلب (حجر رملي),3,𓇋𓈖𓂋𓊌𓌗𓏏𓊌
inr HD,white stone (limestone),حجر أبيض (حجر جيري),3,𓇋𓈖𓂋𓊌𓋠𓈒𓏥𓇋𓈖𓂋𓊌𓌉
inry,shudder,يرتجف,3,𓇋𓀁𓈖𓂋𓇌𓏯𓀜𓇋𓀁𓈖𓂋𓅐𓇋𓍢𓈖𓂋𓍢𓏯
inhmn,pomegranate (tree and fruit),رمان (شجر و ثمار),3,𓇋𓈖𓉔𓏠𓆭𓈖𓉔𓏥𓌴𓁹𓄿𓄿𓈒𓏥
inH,a piece of rim,جزء من إطار,3,𓇋𓆛𓈖𓎛𓂷𓂡
inH,"surround, enclose, rim (a vessel with glod)",يحيط، يطوق، يؤطِّر (آنية بالذهب),3,𓇋𓆛𓈖𓎛𓍢𓂡
inH,eyebrows,حاجبي العين,3,𓇋𓆛𓈖𓎛𓏯𓏯𓇋𓆛𓈖𓎛𓁸
inHAst,lotus-leaves (?),أوراق زهرة اللوتس (؟),3,𓏎𓈖𓇉𓄿𓋴𓏏𓂂𓏫
insy,bright-red linen,كتان أحمر فاتح,3,𓇋𓆛𓈖𓋴𓏭𓋳𓇋𓆛𓈖𓋴𓋳𓇋𓆛𓈖𓊃𓏭𓋳
inst,"calf (of leg), shank (of man , of animal)",سِمَّانِة (الرِجل)، عرقوب (انسان او حيوان),3,𓇋𓆛𓈖𓋴𓏏𓂾𓇋𓆛𓈖𓋴𓏏𓄙
inq,"unite (the two lands), collect, gather together, embrace, come together (for persons)",يوحد (الارضين)، يجمع، يجمع معًا، يحتضن، يتضافروا (للاشخاص),3,𓇋𓆛𓈖𓈎𓂘𓂝𓇋𓈖𓈎𓂘𓇋𓆛𓈖𓈎𓂡𓇋𓆛𓈖𓈎𓂷𓂡
ink,"I (independent pronoun), belonging to me",أنا، ينتمي لي,3,𓏌𓎡𓇋𓏌𓎡𓏌𓎡𓀀
int,valley,وادي,3,𓇋𓆛𓈖𓏏𓈉𓇋𓆛𓏏𓈉
int,the bulti-fish,سمك بلطي,3,𓇋𓆛𓈖𓏏𓆛𓇋𓈖𓏏𓆛
int rd,(the rite of) removing the footprint,(طقس) ازالة اثر القدم على الأرض,3,𓏎𓈖𓏏𓂋𓂧𓂾
inty,"hinder, linger",يعوق، يتوانى,3,𓇋𓆛𓈖𓏏𓏭𓂾𓂻
intnt,"hold back, restrain",يكبح,3,𓇋𓈖𓏏𓈖𓏏𓂽
inT,fetter (vb.),يعيق,3,𓇋𓆛𓈖𓍿𓍢𓇋𓈖𓏏𓍢𓇋𓆛𓈖𓏏𓀜
inTt,fetter (n.),فيود,3,𓇋𓈖𓍿𓏏𓍢𓇋𓆛𓈖𓏏𓏏𓍢
ind,the afflicted man,الرجل المنكوب,3,𓇋𓆛𓈖𓂧𓅪𓀀
indw,misery,misery,3,𓇋𓆛𓈖𓂧𓍢𓅪𓇋𓆛𓈖𓂧𓅪𓏫
inD,be afflicted,مُبتلى,3,𓇋𓆛𓈖𓆓𓁣
inD-Hr,hail to .....,تحية إلى .....,3,𓇋𓐩𓆓𓏛𓁷𓏤
ir,"full form of prep.r, if, as to (non-encl. part.)",الشكل الكامل لحرف الجرr، أو، اذا (أداة غير اسنادية),3,𓇋𓂋
ir,"lay out (a garden), cultivate (crops), perform (a miracle), prepare (food and drink), garner (corn), read aloud (a book), recite (a spell), spend, pass (time), traverse (lands), conduct (an expedition), inflict (a wound), marshal (a force)",يخطط (حديقة)، يزرع (المحاصيل)، يصنع (معجزة)، يُحَضِّر (طعام وشراب)، يدَّخر (غلال)، يقرأ بصوت عال (كتاب)، يتلو (تعويذة)، يقضي (وقت)، يعبر خلال (أرض)، يقوم بـ (بعثة - حملة)، يتسبب في (جرح)، يقود (قوة),3,𓁹
ir,"succeed, make prosperous, maintain",ينجح، يُثري، يصون,3,𓁹
ir,"prepare (remedy), apply (a remedy), treat (an ailment)",يُحَضِّر (دواء)، يستخدم (دواء)، يعالج (مرض),3,𓁹
ir,achieve (a result or purpose),يحقق (نتيجة أو هدف),3,𓁹
ir,"act, take action, act as, in the capacity of (an official, etc.), exercise (an office), appoint (officials)",يتصرف، يعمل، يعمل كـ، بصفة (موظف رسمي ... الخ )، يمارس مهام وظيفة، يُعَيِّن (موظفين رسميين),3,𓁹
ir,"do (good, evil, justice)",يصنع (خيرًا، شرًا، العدالة),3,𓁹
ir,doer (of good),فاعل (الخير),3,𓁹𓀀
ir,stand guard against,يحرس ضد,3,𓁹𓀸𓄿𓅱𓏏𓂡𓏥
ir,"do, make, create, beget (human beings), make, construct (concrete things), make (decrees, laws, written documents), make abstracts (e.g. trouble), make a (fair) name, make actions (e.g. an assault), make (a flight), make (noise)",يعمل، يصنع، يخلق، يوجِد (بَشَر)، يصنع، يشَيِّد (اشياء ملموسة)، يُصدِر (قوانين، مراسيم، وثائق مكتوبة)، يقوم بأفعال مجردة (مشاكل،....الخ)، يقوم بأعمال (هجوم، ....الخ)، يقوم (برحلة)، يعمل (ضوضاء),3,𓁹
ir Axt n,do good to,يفعل الخير لـ,3,
ir At,spend a while,يمضي بعض الوقت,3,
ir At nfrt,spend a happy time,يقضي وقت ممتع,3,
ir ib,do the will of,يصنع مشيئة ....,3,𓁹𓄣𓏤
ir irw,levy the cattle-tax,يفرض ضريبة الماشية,3,𓁹𓇋𓁹𓂋𓅱𓃒
ir ihhy,"rejoice, acclaim (someone)",يبتهج، يهتف لـ,3,𓁹𓇋𓉔𓉔𓇋𓇋𓀁
ir-anx,"make provisions (for someone), provide",يقَدِّم مؤن (إلى شخص),3,𓁹𓋹𓈖𓐍
ir ant,trim the nails,يقلم الأظافر,3,𓁹𓄏𓏏𓏤𓈓
ir aqw,make provisions,يزود بالمؤن,3,
ir wAt n,prepare a way for,يُعد الطريق لـ,3,
ir wpwt Hna,punish,يعاقِب,3,
ir wSb,make answer,يجاوب,3,
ir wSb Hr,answer for someone (protect someone),يجاوب عن شخص (يحميه),3,
ir bi,set a good example,يصنع مثالا يحتذى به,3,𓁹𓃀𓇋𓈞𓄑𓏛𓏥
ir m,"make into, change, transform into, act in accordance with",يتغير إلى، يتصرف وفقًا لـ,3,𓁹𓅓
ir m sS,put into writing,يصيغ بطريقة مكتوبة,3,𓁹𓅓𓏞𓏛𓏥
ir mAw m,"make inspection of, look into",يعمل تفتيش على، يفحص,3,𓁹𓌴𓁹𓅱𓁹𓏥𓅓
ir mi,"act like, act in accordance with",يتصرف كـ، يتصرف وفقًا لـ,3,𓁹𓏇
ir mi mAat,do what is right for,يصنع ما هو أفضل لـ,3,𓁹𓏇𓇋𓆄𓏏𓏤𓈖
ir mi xpr,act properly (do as should be done),يتصرف بطريقة صحيحة (يفعل ما يجب فعله),3,𓁹𓏇𓇋𓆣𓂋
ir mnxt,do good,عمل الخير,3,𓁹𓏠𓈖𓐍𓏏𓍊𓏛𓏥
ir mXrw,"govern a land, do someone's business, provide for someone",يحكم أرض، القيام بأعمال لصالح شخص ما، يُزَوِّد شخص ما,3,𓁹𓅓𓌨𓂋𓅱𓏛𓏥
ir mTn,obey,يطيع، يمتثل,3,𓁹𓅓𓍿𓈖𓅯𓈐
ir mDAt,read a book aloud,يقرأ كتاب بصوت مسموع,3,𓁹𓏛𓏏𓏤
ir-n,"do for, act on behalf of, help, serve god, serve a superior",يتصرف بالنيابة عن، يساعِد، يعمل شيء لصالح، يخدم (إله)، يخدم (شخص أفضل منزلة),3,𓁹𓈖
ir-n,"made by, born of, engendered by (in filiations)",مصنوع بواسطة، مولود من,3,𓁹𓈖
ir.n.i mnt im.i,i have proved it myself,لقد اثبته بنفسي,3,
ir nwdw,"swing awry, act perversely, make a travesty of",يتأرجح بعيداً، يتصرف بشكل معاكس، يقلد بطريقة سيئة,3,𓁹𓈖𓍇𓏌𓅱𓂧
ir nhw,show less of (a bad quality),اظهار اقل من (نوعية رديئة),3,𓁹𓈖𓉔𓅱𓅪
ir nkn,do harm,يضر، يؤذي,3,𓁹𓈖𓎡𓈖𓂿
ir r,"make for (a place), deal with (an accusation), act against, injure, arrange to do something, act with a view to (a purpose)",,3,𓁹𓂋
ir r,"make for (a place), deal with (an accusation), act against, injure, arrange to do something, act with a view to (a purpose)",,3,𓁹𓂋
ir rnpwt,"spend years, pass years",يقضي السنين، يجتاز السنوات,3,𓁹𓆳𓏏𓏥
ir hAw.f,Spend his life,قضى حياته,3,𓁹𓉔𓄿𓅱𓏛𓏥𓆑
ir HAw Hr bAkw,do more than the impost,يقوم بأكثر من الضريبة المفروضة,3,
ir HAt,get in front of,يصبح أمام,3,𓁹𓄂𓏏𓏤
ir-Hmw,guide the helm,يوجه الدفة,3,𓁹𓈞𓅓𓍢𓊦
ir Hmt,take a wife,يأخذ زوجة,3,𓁹𓈞𓏏𓁐
ir Hna,act in conjunction with,يعمل بالاشتراك مع,3,𓁹𓎛𓈖𓂝
ir Hr,do the bidding of,يعمل مشيئة شخص,3,𓁹𓁷𓏤
ir Hsst,"do what is praiseworthy, perform rites",يفعل اشياء يُحمد لاجلها، يقوم بممارسة طقوس,3,𓁹𓎛𓎿𓊃𓊃𓏏𓁹𓎿𓋴𓋴𓏏
ir Htpw,make peace,يصنع سلام,3,𓁹𓊵𓏏𓊪𓅱𓏛𓏥
ir xft,"act in accordance with, deal with a task",يتصرف وفقًا لـ,3,𓁹𓐍𓏏𓆑
ir xt r,"do something against, set upon someone",يهاجم شخص ما، يفعل شيء ضد شخص,3,𓁹𓐍𓏏𓂋
ir sp Hna,deal with,يتعامل مع,3,𓁹𓊃𓊪𓊗𓎛𓈖𓂝
ir st m,be busy with,مشغول بـ,3,𓁹𓊨𓏏𓉐𓅓
ir Smt,do business,يقوم بأعمال,3,𓁹𓈝𓅓𓏏𓂻
ir Sd nxn n,act as guardian to (a minor),يعمل كوصي لـ (شخص قاصر),3,
ir qd,"achieve a (good) reputation, achieve success",يحقق سمعة (جيدة)، يحقق نجاح,3,𓁹𓐪𓂧𓂂𓏛
ir kAt m,adopt a profession as,يتخذ وظيفة كـ,3,𓁹𓂓𓏏𓀋𓏛𓅓
ir-gs-n,halve,يُنَصِّف (جعل الشىء نصفين),3,𓁹𓐞𓏤𓈖
iri,companion,رفيق، سمير,3,𓇋𓂋𓇋
iri Snw,coiffeur,مصفف الشعر,3,𓁹𓁸
iry,keeper,حافظ، حارس، أمين,3,𓇋𓂋𓏭𓀺
iry,"thereof, thereto",ومن ذلك,3,𓇋𓂋𓏭𓇋𓂋𓏥
iry,relating to (adj.),متعلق بـ، الخاص بـ,3,𓇋𓂋𓏭𓀹
iry,"relating to, towards, which is at, who is at",مرتبط بـ، مختص بـ، الذي هو ناحية,3,𓇋𓂋𓏭
iry.i Hst.k,i will do your pleasure,سأفعل ما يسرك,3,𓁹𓇋𓇋𓎛𓎿𓋴𓏏𓎡
iry-aA,door-keeper,حاجب (حارس الباب),3,𓀺𓉿𓇋𓂋𓉻𓂝𓉿𓇋𓂋𓏭𓀺𓉻𓉿𓀀
iry-at,hall-keeper,القيم على القاعة,3,𓀺𓂝𓏏𓉐
iry wpt,wig,شعر مستعار,3,
iry-pDt,bowman,رامي السهام,3,𓀺𓌔𓏏𓏤
iry-mxAt,keeper of the balance,المسؤول عن الميزان,3,𓀺𓍝
iry-mDAt,letter-carrier,حامل الرسائل,3,𓂋𓏝𓀀𓇋𓂋𓏤𓏛𓏤
iry-nfr-HAt,keeper of the king's diadem (title),حافظ غطاء راس الملك (لقب),3,𓇋𓂋𓏭𓀹𓄤𓄂
iry-nfr-HAT,keeper of the diadem,القيم على الإكليل,3,𓀺𓄤𓄂𓏏𓂋𓄤𓄂𓏏
iry-rdwy,one in attendance on,.,3,𓇋𓂋𓏭𓀺𓂋𓂧𓂾𓂾
iry-hp,custodian of laws,القيم على القوانين,3,𓀺𓉔𓊪𓏛
iry-HAt,pilot,مرشد، دليل,3,𓇋𓂋𓏭𓀺𓄂𓏏𓏤
iry Hmw,helmsman,قائد الدفة,3,𓇋𓂋𓏭𓈞𓅓𓏲𓊦
iry-xt,"overseer, administrator",مدير، مشرف,3,𓀺𓐍𓏏𓏛𓏥
iry-sA,keeper of the cattle-pens,القيم على حظائر الماشية,3,𓇋𓂋𓏭𓀺𓐠𓏤𓉐
iry-sSm,functionary,موظف,3,𓇋𓂋𓀺𓋴𓌬𓅓𓏛𓀀𓀺𓋴𓌬
iryw,crew (of boat),طاقم (مركب),3,𓇋𓂋𓀺𓀀𓏪
iryt,milch-cow,بقرة حلوب,3,𓇋𓁹𓇌𓏏𓃒
iryt,tax-corn,حبوب للضرائب,3,𓇋𓁹𓇌𓏏𓌽𓏥
irw,"shape, form, nature",هيئة، صورة، طبيعة,3,𓇋𓁹𓅱𓀾𓏤𓀾𓅱𓏛𓏥𓇋𓁹𓀾
irw,cattle-tax,ضريبة الماشية,3,𓇋𓁹𓂋𓅱𓃒𓁹𓂋𓅱𓏛𓏥𓁹𓇌𓏪
irp,wine,نبيذ,3,𓇋𓂋𓊪𓏊𓏥𓇋𓂋𓊪𓏉𓇋𓂋𓊪𓇭
irf,full form of encl. part.rf,الصورة الكاملة من الاداة الاسناديةrf,3,𓇋𓂋𓆑
irr,(evil-)doer,فاعل الشر,3,𓁹𓂋𓀀
irt,eye,عين,3,𓁹𓏏𓏤
irt,"duty (of someone), use , purpose (of something)",استعمال، استخدام (شيء ما)، مهمة (شخص ما),3,𓇋𓂋𓏏𓀺𓏛𓇋𓁹𓏏𓀺𓀺𓏏𓏥𓇋𓂋𓏏𓇋𓂋𓏏𓏛𓀺𓏛𓏪
irt,companion (Fem.),رفيقة، سميرة,3,𓇋𓂋𓏏𓀺
irt mi xpr,the correct procedure,الإجراء الصحيح,3,𓁹𓏏𓏇𓇋𓆣𓂋
irt nb,every eye (everyone),كل عين (كل شخص),3,𓁹𓏏𓏤𓎟
irt-Snbt,pectoral,صدرية,3,
irtyw,"blue (adj), color (n.), a blue mineral (?)",أزرق (صفة)، لون، معدن أزرق (؟),3,𓇋𓁹𓏏𓅂𓈒𓏥𓇋𓁹𓅂𓈒𓏥
irtyw,blue dyed linen,كتان مصبوغ بالأزرق,3,𓇋𓁹𓅂𓋳
irtyw,mourning,حِداد,3,𓇋𓁹𓅂𓀁𓏫
irTt,milk,لبن,3,𓇋𓂋𓏏𓏏𓏈𓇋𓁹𓏏𓏏𓏊
ihw,camp,مخيم,3,𓇋𓉔𓅱𓉐
ihb,dancing ritual,رقص طقسي,3,𓇋𓉔𓃀𓀤𓇋𓉔𓄿𓃀𓀤
ihm,restrain,يُقيِّد، يكبح,3,𓇋𓉔𓅓𓀜𓉔𓇋𓅓𓂝
ihm,"linger, lag",تواني، تأخر,3,𓇋𓉔𓅓𓂻
ihmt,detention,اعتقال، احتجاز,3,𓇋𓉔𓅐𓏏𓅪
ihhy,rejoicing,مُبهج,3,𓇋𓉔𓉔𓇌𓀁𓇋𓀁𓉔𓉔𓇌𓀠𓇋𓉔𓉔𓇌𓀤
ihhy,a festival,عيد، احتفال,3,𓇋𓀁𓉔𓉔𓇌𓎳𓏥
ihhw,ritual dancers,راقصين طقسيين,3,𓇋𓉔𓃀𓅱𓀤𓏪𓇋𓉔𓄿𓃀𓅱𓀔𓂻𓏥
iH,bull,ثور,3,𓇋𓎛𓃾𓃾
iH,ah! (interjection expressing relief ),آه! (صوت ارتياح),3,𓇋𓎛𓀁
iH,"wipe off (dirt, etc.)",يمحو (قذارة، الخ),3,𓂝𓎛𓌤
iHy,"sistrum-player (epithet of son of Hathor), title of priests of Hathor",اللاعب بالصلاصل (لقب لإبن حتحور)، لقب لكاهنة حتحور,3,𓇋𓎛𓇋𓎛𓏭𓅱
iHw,stable,اسطبل,3,𓇋𓎛𓅱𓉐𓇋𓎛𓅱𓏪𓇋𓎛𓏏𓉐
iHw,a measure of metal,مقياس للمعادن,3,𓇋𓎛𓅱
iHw,weakness,ضَعف,3,𓇋𓎛𓅱𓅪
iHms,attendant,خادم، مرافق,3,𓇋𓈞𓊃𓀔
iHt,cow,بقرة,3,𓇋𓎛𓏏𓃒
iHtt,land-tax,ضريبة الأرض,3,𓇋𓎛𓏏𓏏𓈇
ix,"then, therefore (non-encl. part.), what ? (interrog.)",من ثم، حينئذ (اداة غير اسنادية)، ماذا ؟ (اداة استفهام),3,𓇋𓐍𓏛
ixi,make to flourish,يتسبب في ازدهار,3,𓇋𓐍𓇋𓇇𓂡𓏥
ixm,"extinguish, annul",يُبطِل، يفسَخ، يضع حدًا لـ,3,𓇋𓐍𓅓𓂜
ixm-sk,indestructible star (circumpolar star),نجم لا يفنى (نجم قطبي),3,𓇋𓐍𓅓𓂜𓋴𓎡𓇼𓇋𓐍𓅓𓋴𓎝𓎡𓇼𓂝𓐍𓅓𓅱𓋴𓎡𓇼
ixmw,ignorant ones,الجهلة,3,𓇋𓐍𓅓𓅪𓏥
ixmw-wrD,the unwearying stars (i.e. not circumpolar),النجوم التي لا تتعب (النجوم الغير قطبية),3,𓇋𓅱𓐍𓅓𓏥
ixmt,"bank (of river), bank (of fortress)",ضفة (النهر)، حافة (الغابة),3,𓇋𓐍𓅓𓏏𓈉𓇋𓐍𓅐𓏏𓈇𓏤𓂝𓐍𓅐𓏏𓈇𓏥𓂝𓐍𓅓𓏏𓈄
ixxw,"twilight, dusk",الغسق,3,𓇋𓐍𓐍𓅱𓇶𓇋𓐍𓐍𓅱𓇰𓏥𓇋𓅱𓐍𓐍𓇰𓏥𓂝𓐍𓐍𓍢𓇰
is,go! (Imper.),اذهب! (فعل أمر),3,𓇋𓊄𓂻𓊄𓇋𓊄
is,"be light (of weight, in figure), lie light (on)",خفيف الوزن، رشيق، يستلقي بخفة (على),3,𓇋𓇩𓊃𓆰𓇋𓇩𓋴𓆰
is,"encl. part., interrog. part.",اداة اسنادية، اداة استفهام,3,𓇋𓋴
is,"old, ancient",قديم، عتيق,3,𓇋𓇩𓋴𓆰𓏛𓇋𓋴𓇑
is,"tomb, workshop, council chamber (?)",مقبرة، ورشة، غرفة المجلس (؟),3,𓇋𓊃𓇩𓉐𓇋𓇩𓋴𓉐
is ib,light-minded,طائش,3,𓇋𓇩𓊃𓆰𓄣𓏤
is HAq,easy prey,صيدا سهلا,3,𓇋𓊄𓇉𓈎𓂡
isi,"tomb, council chamber (?), workshop",مقبرة، ورشة، غرفة مجلس (؟),3,𓇋𓇩𓋴𓏭𓉐𓆰𓅱𓏭𓉐
isywt,"old clothes, rags",ملابس قديمة، خِرق,3,
isw,ancient ones,قدماء,3,𓇋𓋴𓅱𓏪
isw,reeds,اعواد البوص,3,𓇋𓇩𓋴𓏲𓆰𓏥
isw,non-encl. part.,اداة غير اسنادية,3,𓇋𓋴𓏲𓀁
isw,"reward, payment",مكافأة، أجر,3,𓇋𓇩𓋴𓄯𓅱𓄯𓅱𓇋𓋴𓅱𓄯𓏛𓏥𓇋𓇩𓋴𓅱𓆰𓏛𓏥𓇋𓇩𓋴𓅱𓏛𓏥
ist,"crew (of ship), company (of soldiers), gang (of workmen)",طاقم (سفينة)، سَرية (من الجنود)، مجموعة (من العمال),3,𓇩𓏏𓏤𓀀𓏥𓇩𓇩𓏏𓅱𓀀𓏥
iswt,ancient times,الازمنة القديمة,3,𓇋𓋴𓅱𓏏𓆰𓇋𓇩𓋴𓅱𓏏𓆰𓏛𓏥
iswt(y),representative (of king as representative of sun god),ممثل (الملك ممثل عن إله الشمس),3,𓄯𓏏
isbt,"throne, stool",عرش، كرسي صغير,3,𓇋𓋴𓃀𓏏𓉐𓇋𓋴𓃀𓏏𓆱
isp,"hew, cut",يقطع، ينحت,3,𓇋𓊃𓊪𓌎𓇋𓋴𓊪𓌪
ispr,whip (n.),سوط,3,𓇋𓋴𓊪𓂋𓏤
ispt,quiver (for arrows),جعبة (سهام),3,𓇋𓋴𓊪𓏏𓆱𓇋𓋴𓊪𓏏𓄛
isft,"wrong, wrong-doing, falsehood",خطأ، فعل الخطأ، كَذِب,3,𓇋𓋴𓆑𓏏𓅪𓇋𓊃𓆑𓏏𓏳
isfty,evil-doer,فاعل الشر,3,𓇋𓋴𓆑𓏏𓏭𓅪𓀀
isr,tamarisk tree,شجرة الأثل,3,𓇋𓋴𓂋𓆱𓇋𓋴𓂋𓆭𓆱
issr,Assyria,آشور,3,𓇋𓋴𓇓𓅱𓂋𓏤
isq,"hinder, linger, wait (for)",يعيق، يُعَطِّل، ينتظر، يتباطئ,3,𓇋𓋴𓈎𓂻𓇋𓋴𓈎𓂾𓂻
isk,non-encl. part.,اداة غير اسنادية,3,𓇋𓋴𓎡𓋴𓎡
ist,boundary-stone,حجر لتحديد حدود الأرض,3,𓇋𓊃𓏏𓇤𓇩𓏏𓏤
ist,palace,قصر,3,𓇩𓏏𓉥𓇩𓏏𓏤𓉐𓏥
ist,company (of rebels),مجموعة من المتمردين,3,𓇩𓏏𓏤𓀐
ist,lightness,خفة، رشاقة,3,𓇋𓇩𓏏𓆰
istn,"strap up, bind",يربط، يُحَزِّم,3,𓇋𓋴𓏏𓈖𓏲𓂡
isT,non-encl. part.,أداة غير إسنادية,3,𓇋𓋴𓍿𓋴𓍘𓋴𓍿𓇋𓋴𓏏
iS,saliva,لعاب,3,𓇋𓈙𓀁
iSnn,warcry,صيحة الحرب,3,𓇋𓍲𓈖𓈖𓀁
iSrw,the precinct of Mut at Karnak,حرم الإلهة موت في معبد الكرنك,3,𓇋𓈙𓃭𓊖
